puzzle_id,display_name,kind,group,game_puzzle_id,leaderboard_key,puzzle_type
om.puzzle.0001,Stabilized Water,campaign,chapter-1,P007,STABILIZED_WATER,normal
om.puzzle.0002,Refined Gold,campaign,chapter-1,P010,REFINED_GOLD,normal
om.puzzle.0003,Face Powder,campaign,chapter-1,P009,FACE_POWDER,normal
om.puzzle.0004,Waterproof Sealant,campaign,chapter-1,P011,WATERPROOF_SEALANT,normal
om.puzzle.0005,Hangover Cure,campaign,chapter-1,P013,HANGOVER_CURE,normal
om.puzzle.0006,Airship Fuel,campaign,chapter-1,P008,AIRSHIP_FUEL,normal
om.puzzle.0007,Precision Machine Oil,campaign,chapter-1,P012,PRECISION_MACHINE_OIL,normal
om.puzzle.0008,Health Tonic,campaign,chapter-1,P014,HEALTH_TONIC,normal
om.puzzle.0009,Stamina Potion,campaign,chapter-1,P015,STAMINA_POTION,normal
om.puzzle.0010,Hair Product,campaign,chapter-2,P016,HAIR_PRODUCT,normal
om.puzzle.0011,Rocket Propellant,campaign,chapter-2,P019,ROCKET_PROPELLANT,normal
om.puzzle.0012,Mist of Incapacitation,campaign,chapter-2,P018,MIST_OF_INCAPACITATION,normal
om.puzzle.0013,Explosive Phial,campaign,chapter-2,P017,EXPLOSIVE_PHIAL,normal
om.puzzle.0014,Armor Filament,campaign,chapter-2,P020,ARMOR_FILAMENT,polymer_height
om.puzzle.0015,Courage Potion,campaign,chapter-2,P021,COURAGE_POTION,normal
om.puzzle.0016,Surrender Flare,campaign,chapter-2,P022,SURRENDER_FLARE,normal
om.puzzle.0017,Alcohol Separation,campaign,chapter-3,P024,ALCOHOL_SEPARATION,normal
om.puzzle.0018,Water Purifier,campaign,chapter-3,P025,WATER_PURIFIER,normal
om.puzzle.0019,Seal Solvent,campaign,chapter-3,P026,SEAL_SOLVENT,normal
om.puzzle.0020,Climbing Rope Fiber,campaign,chapter-3,P027,CLIMBING_ROPE_FIBER,polymer_height
om.puzzle.0021,Warming Tonic,campaign,chapter-3,P028,WARMING_TONIC,normal
om.puzzle.0022,Life-Sensing Potion,campaign,chapter-3,P030b,LIFE_SENSING_POTION,normal
om.puzzle.0023,Very Dark Thread,campaign,chapter-3,P029,VERY_DARK_THREAD,polymer_height
om.puzzle.0024,Litharge Separation,campaign,chapter-4,P031b,LITHARGE_SEPARATION,normal
om.puzzle.0025,Stain Remover,campaign,chapter-4,P034,STAIN_REMOVER,normal
om.puzzle.0026,Sword Alloy,campaign,chapter-4,P033,SWORD_ALLOY,polymer_height
om.puzzle.0027,Invisible Ink,campaign,chapter-4,P032,INVISIBLE_INK,normal
om.puzzle.0028,Purified Gold,campaign,chapter-4,P036,PURIFIED_GOLD,normal
om.puzzle.0029,Alchemical Jewel,campaign,chapter-4,P035,ALCHEMICAL_JEWEL,normal
om.puzzle.0030,Golden Thread,campaign,chapter-4,P037,GOLDEN_THREAD,polymer_height
om.puzzle.0031,Mist of Hallucination,campaign,chapter-5,P038,MIST_OF_HALLUCINATION,normal
om.puzzle.0032,Timing Crystal,campaign,chapter-5,P042,TIMING_CRYSTAL,normal
om.puzzle.0033,Voltaic Coil,campaign,chapter-5,P039,VOLTAIC_COIL,polymer_height
om.puzzle.0034,Unstable Compound,campaign,chapter-5,P040,UNSTABLE_COMPOUND,normal
om.puzzle.0035,Curious Lipstick,campaign,chapter-5,P041,CURIOUS_LIPSTICK,normal
om.puzzle.0036,Universal Solvent,campaign,chapter-5,P043,UNIVERSAL_SOLVENT,normal
om.puzzle.0037,Silver Paint,production,appendix,P076,SILVER_PAINT,production
om.puzzle.0038,Viscous Sludge,production,appendix,P080,VISCOUS_SLUDGE,production
om.puzzle.0039,Fragrant Powders,production,appendix,P075,FRAGRANT_POWDERS,production
om.puzzle.0040,Rat Poison,production,appendix,P074,RAT_POISON,production
om.puzzle.0041,Special Amaro,production,appendix,P083,SPECIAL_AMARO,production
om.puzzle.0042,Vapor of Levity,production,appendix,P078,VAPOR_OF_LEVITY,production
om.puzzle.0043,Abrasive Particles,production,appendix,P079,ABRASIVE_PARTICLES,production
om.puzzle.0044,Eyedrops of Revelation,production,appendix,P081,EYEDROPS_OF_REVELATION,production
om.puzzle.0045,Parade-Rocket Fuel,production,appendix,P082,PARADE_ROCKET_FUEL,production
om.puzzle.0046,Aether Detector,production,appendix,P077,AETHER_DETECTOR,production
om.puzzle.0047,Reconstructed Solvent,production,appendix,P084,RECONSTRUCTED_SOLVENT,production
om.puzzle.0048,Van Berlo's Wheel,journal,journal-xcix-i,P054,VAN_BERLO_S_WHEEL,normal
om.puzzle.0049,Van Berlo's Chain,journal,journal-xcix-i,P055,VAN_BERLO_S_CHAIN,polymer_height
om.puzzle.0050,Reactive Cinnabar,journal,journal-xcix-i,P056,REACTIVE_CINNABAR,normal
